name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
tequonic,tequila,2 oz,blanco tequila,1/4 oz,fresh lemon or lime juice,,tonic water,,,,,,,"pour tequila into ice-filled old-fashioned glass. add juice, fill with tonic water, and stir. garnish with citrus wedge.",old-fashioned glass,6 to 8 ounces
tequini,tequila,1 1/2 oz,blanco tequila,1/2 oz,dry vermouth,1 oz,angostura bitters,,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
passion daiquiri cocktail,cocktail classics,1 1/2 oz,old mr. boston rum,1 oz,juice of a lime,1 oz,powdered sugar,1 oz,passion fruit juice,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
parisian blonde cocktail,cocktail classics,3/4 oz,sweet cream,3/4 oz,old mr. boston triple sec,3/4 oz,jamaica rum,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tequila sunrise,tequila,2 oz,blanco tequila,4 oz,orange juice,3/4 oz,grenadine,,,,,,,"pour tequila and orange juice into ice-filled highball glass. stir and add ice. slowly pour in grenadine and allow to settle at glass bottom. before drinking, stir to create the ""sunrise""",highball glass,7 to 10 ounces
coffee grasshopper,brandy,3/4 oz,coffee-flavored brandy,3/4 oz,white creme de menthe,3/4 oz,half-and-half,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
tequila straight,tequila,1 oz,coarse salt,1 1/2 oz,blanco tequila,1 oz,lime wedge,,,,,,,"put salt between thumb and index finger on back of one hand. hold shot glass of tequila in same hand and lime wedge in other hand. taste the salt, drink the tequila, and then suck the lime.",shot glass,1 _ to 2 ounces
tequila sour,tequila,2 oz,blanco tequila,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,,,,,,,shake with ice and strain into chilled sour glass. garnish with lemon and cherry.,cordial or pony glass,2 to 3 ounces
tequila smash,tequila,4 oz,blueberries,4 oz,bing cherries,2 oz,blanco tequila,1/2 oz,maraschino liqueur,1/2 oz,fresh lime juice,,lime wheel skewered with blueberry and bing cherry,muddle blueberries and cherries in mixing glass. add remaining ingredients and shake. double-strain into ice-filled old-fashioned glass. garnish with skewered fruit.,old-fashioned glass,6 to 8 ounces
tequila pink,tequila,1 1/2 oz,blanco tequila,1 oz,dry vermouth,1/4 oz,grenadine,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
tequila old-fashioned,tequila,1 1/2 oz,blanco tequila,1 oz,simple syrup,1 oz,angostura bitters,1 oz,soda water,,lemon twist,,,"pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. add soda. add lemon twist.",old-fashioned glass,6 to 8 ounces
rob roy cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,desmond & duff scotch whisky,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tequila mockingbird,tequila,,"lime wedge, coarse salt",1/4 oz,minced ginger,1 3/4 oz,blanco tequila,1 1/2 oz,agave nectar,1 oz,fresh lime juice,,lime wheel,rim one half of a chilled cocktail glass with lime and salt. muddle ginger in mixing glass. add remaining ingredients with ice and shake. strain into glass. garnish with lime wheel.,cocktail glass,6 or more ounces
tequila matador,tequila,1 1/2 oz,blanco tequila,2 oz,pineapple juice,1/2 oz,fresh lime juice,,,,,,,shake with ice and strain into chilled champagne flute.,champagne flute,6 to 8 ounces
tequila manhattan,tequila,2 oz,blanco tequila,1 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,shake with ice and strain into ice-filled old-fashioned glass. add cherry.,old-fashioned glass,6 to 8 ounces
t.n.t. cocktail,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
thunderclap cocktail,cocktail classics,3/4 oz,old mr. boston dry gin,3/4 oz,old thompson blended whiskey,3/4 oz,old mr. boston five star brandy,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
thunder cocktail,cocktail classics,1 oz,powdered sugar,1 oz,egg yolk,1 1/2 oz,old mr. boston five star brandy,1 oz,cayenne pepper,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tequila collins,tequila,2 oz,blanco tequila,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,,,,"lemon wheel, orange wheel, maraschino cherry",,,"shake first three ingredients with ice and strain into chilled collins glass. add several ice cubes, fill with soda water, and stir. garnish with lemon, orange, and cherry. serve with straw.",collins glass,14 to 16 ounces
white lady cocktail,cocktail classics,1 oz,egg white,1 oz,powdered sugar,1 oz,sweet cream,1 1/2 oz,old mr. boston dry gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tequila canyon,tequila,1 1/2 oz,blanco tequila,1/4 oz,triple sec,1 oz,cranberry juice,1 oz,pineapple juice,1 oz,orange juice,,lime wheel,pour into collins glass and stir. add ice. garnish with lime. serve with straw.,collins glass,14 to 16 ounces
chicago cocktail,brandy,,"lemon wedge, superfine sugar",1 oz,brandy,1/2 oz,fresh lemon juice,1/4 oz,orange curacao,1/4 oz,maraschino liqueur,,,rim chilled old-fashioned glass with lemon and sugar. stir remaining ingredients with ice and strain into glass.,old-fashioned glass,6 to 8 ounces
sunday confession,tequila,1 oz,blanco tequila,1 oz,limoncello,1/2 oz,fresh lemon juice,,,,lemon wedge,,,pour the first three ingredients into collins glass and stir briefly. add ice and top with ginger beer. add lemon.,collins glass,14 to 16 ounces
strawberry margarita,tequila,,"lime wedge, superfine sugar or coarse salt (optional)",3 oz,"fresh strawberries, cut in half",3/4 oz,strawberry schnapps,1 1/2 oz,blanco tequila,3/4 oz,triple sec,3/4 oz,"fresh lime juice, whole strawberry","if desired, rim chilled cocktail glass with lime and sugar or salt. muddle strawberries with schnapps in mixing glass. add remaining ingredients and shake with ice. strain through fine wire sieve into glass. add strawberry.",cocktail glass,6 or more ounces
western rose cocktail,cocktail classics,1/2 oz,old mr. boston apricot flavored brandy,1 oz,old mr. boston dry gin,1/2 oz,dry vermouth,1/4 oz,lemon juice,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
widow's kiss cocktail,cocktail classics,1 oz,old mr. boston five star brandy,1/2 oz,yellow chartreuse,1/2 oz,benedictine,1 oz,peychaud bitters,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
spice of life,tequila,3 oz,cucumber,12,fresh mint leaves,3/4 oz,simple syrup,2 oz,jalapeno-infused tequila,3/4 oz,fresh lime juice,,"cucumber slice, fresh mint sprig","muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. add tequila and lime juice with ice and shake. double-strain into ice-filled old-fashioned glass. garnish with cucumber slice and mint sprig.",old-fashioned glass,6 to 8 ounces
widow's dream cocktail,cocktail classics,1 1/2 oz,benedictine,1 oz,whole egg,,,,,,,,,shake with ice and strain into cocktail glass. float one teaspoon of sweet cream on top.,cocktail glass,6 or more ounces
vodka gypsy cocktail,cocktail classics,1 1/2 oz,old mr. boston vodka,3/4 oz,benedictine,1 oz,angostura bitters,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
south of the border,tequila,1 oz,blanco tequila,3/4 oz,coffee-flavored brandy,1/2 oz,fresh lime juice,,,,,,,shake with ice and strain into chilled sour glass. garnish with lime.,cordial or pony glass,2 to 3 ounces
vodka grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston vodka,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
violet fizz juice,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,old mr. boston dry gin,1 oz,creme yvette,,,,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
smoked margarita,tequila,1/2 oz,"smoky scotch whisky, such as islay or skye",1 oz,reposado tequila,1 oz,triple sec,1/2 oz,fresh lemon juice,1/2 oz,fresh lime juice,,lime wedge,pour scotch into old-fashioned glass and swirl to coat. add ice. shake remaining ingredients with ice and strain into glass. add lime wedge.,old-fashioned glass,6 to 8 ounces
sloe tequila,shooters,1 oz,blanco tequila,1/2 oz,sloe gin,1/2 oz,fresh lime juice,,,,,,,combine ingredients with 1/2 cup crushed ice in blender on low speed. pour into old-fashioned glass. add cucumber twist.,old-fashioned glass,6 to 8 ounces
queen elizabeth cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,1/2 oz,dry vermouth,1 1/2 oz,benedictine,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
silk stockings,tequila,1 1/2 oz,blanco tequila,1 oz,white creme de cacao,1 1/2 oz,heavy cream,1 oz,grenadine,,ground cinnamon,,,shake ingredients with ice and strain into chilled cocktail glass. top with cinnamon.,cocktail glass,6 or more ounces
orchid cocktail,cocktail classics,2 oz,old mr. boston dry gin,1 oz,egg white,1 oz,creme yvette,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
orange milk fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old mr. boston orange flavored gin,2 oz,milk,,,,,shake with ice and strain into highball glass over two cubes of ice. fill with carbonated water and stir.,highball glass,7 to 10 ounces
orange gin rickey,cocktail classics,1/2 oz,juice of a lime,2 oz,old mr. boston orange flavored gin,,,,,,,,,pour into highball glass over ice cubes and fill with carbonated water. add wedge of lime. stir.,highball glass,7 to 10 ounces
orange gin highball,cocktail classics,2 oz,old mr. boston orange flavored gin,,ginger ale,,lemon twist,,,,,,,"pour into highball glass over ice cubes and fill with ginger ale or carbonated water. add twist of lemon peel, if desired, and stir.",highball glass,7 to 10 ounces
orange gin fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,old mr. boston orange flavored gin,,,,,,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7 to 10 ounces
orange gin collins,cocktail classics,1/2 oz,juice of a lemon,2 oz,old mr. boston orange flavored gin,,,,,,,,,"shake with ice and strain into collins glass. add several cubes of ice, fill with carbonated water and stir. decorate with slices of lemon and orange and a cherry. serve with straws.",collins glass,14 to 16 ounces
sidewinder,tequila,1 1/2 oz,reposado tequila,1/2 oz,campari,1/2 oz,"vanilla syrup, preferably b.a. reynold's",1/2 oz,fresh lime juice,1/4 oz,mezcal,2 oz,"ginger beer, 1 oz",fill collins glass 1/2 full with crushed ice. add all ingredients. swizzle with barspoon until glass is frosted. fill to brim with additional ice. garnish with mint.,collins glass,14 to 16 ounces
orange blossom cocktail,cocktail classics,1 oz,old mr. boston dry gin,1 oz,orange juice,1/4 oz,powdered sugar,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
shady lady,tequila,1 oz,blanco tequila,1 oz,melon liqueur,4 oz,fresh grapefruit juice,4 oz,fresh grapefruit juice,,lime wedge; honeydew melon wedge or maraschino cherry,,,combine all ingredients in ice-filled highball glass and stir. garnish with lime and melon or cherry.,highball glass,7 to 10 ounces
cherry blossom,brandy,,"cherry-flavored brandy, superfine sugar",1 oz,brandy,1/2 oz,cherry-flavored brandy,1/2 oz,fresh lemon juice,1/4 oz,triple sec,1/4 oz,"grenadine, maraschino cherry",rim chilled cocktail glass with brandy and sugar. shake ingredients with ice and strain into glass. add cherry.,cocktail glass,6 or more ounces
the sfozando,tequila,1 oz,mezcal,3/4 oz,rye whiskey,1/2 oz,dry vermouth,1/2 oz,benedictine,1 oz,chocolate bitters,,orange twist,stir with ice and strain into cocktail glass. add orange twist.,cocktail glass,6 or more ounces
napoleon cocktail,cocktail classics,2 oz,old mr. boston dry gin,1/2 oz,curacao,1/2 oz,dubonnet,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
moulin rouge cocktail,cocktail classics,1 1/2 oz,old mr. boston sloe gin,3/4 oz,sweet vermouth,1 oz,bitters,,,,,,,stir with ice and strain cocktail glass.,cocktail glass,6 or more ounces
sea of cortez,tequila,1 1/2 oz,blanco tequila,1 oz,fresh lime juice,3/4 oz,creme de cassis,1/4 oz,orange curacao,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
satin sheets,tequila,1 1/2 oz,blanco tequila,1/2 oz,falernum,1/2 oz,simple syrup,3/4 oz,fresh lime juice,,lime wheel,,,shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
santana sling,tequila,1 1/2 oz,reposado tequila,1/2 oz,cherry heering,1/4 oz,batavia arrack or light rum,1/2 oz,fresh lime juice,3 oz,ginger beer,,,pour first four ingredients into ice-filled collins glass and stir. add ginger beer and stir again.,collins glass,14 to 16 ounces
rosita,tequila,1 1/2 oz,blanco tequila,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1/2 oz,campari,1 oz,angostura bitters,,lemon twist,stir with ice. strain into ice-filled old-fashioned glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
mariposa cocktail,cocktail classics,1 oz,old mr. boston rum,1/2 oz,old mr. boston five star brandy,1 oz,lemon juice,1 oz,orange juice,1 oz,grenadine,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
margarita cocktail,cocktail classics,1 1/2 oz,old mr. boston tequila,1/2 oz,old mr. boston triple sec,1 oz,lemon or lime juice,,,,,,,"rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. shake ingredients with ice and strain into the salt-rimmed glass.",cocktail glass,6 or more ounces
the refuge,tequila,1 1/2 oz,blanco tequila,1/2 oz,aperol,1/4 oz,fresh lime juice,1/4 oz,grapefruit juice,1/4 oz,agave nectar,,,shake with ice. strain into chilled cocktail glass.,cocktail glass,6 or more ounces
manhattan cocktail (dry),cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,old thompson blended whiskey,,,,,,,,,stir with ice and strain into cocktail glass. serve with an olive.,cocktail glass,6 or more ounces
mamie taylor,cocktail classics,1/2 oz,juice of a lime,2 oz,desmond & duff scotch whisky,,,,,,,,,fill collins glass with ginger ale and ice. stir.,collins glass,14 to 16 ounces
quetzalcoatl,tequila,1 oz,blanco tequila,3/4 oz,mezcal,1/2 oz,creme de peche,1/2 oz,guava puree,1/2 oz,grapefruit juice,,grapefruit twist,shake with ice and strain into cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
zero mint,cocktail classics,2 oz,mr. boston creme de menthe,,water,,,,,,,,,for each serving chill 2 oz. old mr. boston creme de menthe (green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (does not have to be frozen solid.) serve in cocktail glasses.,cocktail glass,6 or more ounces
purple pancho,tequila,,"lime wedge, superfine sugar",1 oz,blanco tequila,1/2 oz,blue curacao,1/2 oz,sloe gin,2 oz,fresh lime juice,1 oz,"each fresh lemon juice, simple syrup, 1 lime wheel",rim chilled cocktail or margarita glass with lime wedge and sugar. shake remaining ingredients with ice and pour with ice into glass. garnish with lime wheel.,cocktail glass,6 or more ounces
midnight express,rum - daiquiris,1 1/2 oz,dark rum,1/2 oz,triple sec,3/4 oz,fresh lime juice,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,,,shake with ice and pour into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
london special cocktail,cocktail classics,,orange peel,,lump sugar,2 dashes,bitters,,,,,,,put a large twist of orange peel into champagne glass. add 1 lump sugar and 2 dashes bitters. fill with well-chilled champagne and stir.,champagne flute,6 to 8 ounces
mary pickford cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,pineapple juice,1/4 oz,maraschino liqueur,1/4 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
charles cocktail,brandy,1 1/2 oz,brandy,1 1/2 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
martinique rose,rum - daiquiris,2 oz,aged rhum agricole,1/2 oz,amaretto,3/4 oz,fresh lime juice,3/4 oz,grapefruit juice,1/2 oz,orgeat or almond syrup,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
mariposa,rum - daiquiris,1 oz,light rum,1/2 oz,brandy,1/2 oz,fresh lemon juice,1/2 oz,orange juice,1 oz,grenadine,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
mandeville,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,fresh lemon juice,1 oz,anisette,1 oz,grenadine,,,shake first five ingredients with ice and strain into ice-filled old fashioned glass. top with cola.,old-fashioned glass,6 to 8 ounces
k.c.b. cocktail,cocktail classics,1/2 oz,old mr. boston kummel,1 1/2 oz,old mr. boston dry gin,1/4 oz,old mr. boston apricot flavored brandy,1/4 oz,lemon juice,,,,,shake with ice and strain into cocktail glass. add twist of lemon peel.,cocktail glass,6 or more ounces
malmaison,rum - daiquiris,,anisette,1 oz,light rum,1/2 oz,cream sherry,1 oz,fresh lemon juice,,,,,rim chilled cocktail glass with anisette. shake remaining ingredients with ice. strain into glass.,cocktail glass,6 or more ounces
mai-tai (trader vic version),rum - daiquiris,2 oz,"dark rum, preferably jamaican",1/2 oz,orange curacao,1 oz,fresh lime juice (reserve 1/2 lime shell for garnish),1/2 oz,orgeat syrup,1/4 oz,rock candy syrup or simple syrup,,fresh mint sprig; pineapple wedge skewered with maraschino cherry,"shake ingredients without ice. strain into ice-filled old-fashioned glass. garnish with lime shell, mint, and skewered pineapple and cherry.",old-fashioned glass,6 to 8 ounces
jersey lightning cocktail,cocktail classics,1 1/2 oz,apple brandy,1/2 oz,sweet vermouth,1 oz,juice of a lime,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
lumination,rum - daiquiris,2 oz,fresh ginger,1 oz,simple syrup,2 oz,dark rum,1 oz,vs cognac,1 oz,"each fresh lemon juice, angostura bitters",,lemon twist,muddle ginger in syrup in mixing glass. add remaining ingredients and ice and shake. strain into chilled champagne flute. add lemon twist.,champagne flute,6 to 8 ounces
jamaica glow cocktail,cocktail classics,1 oz,old mr. boston dry gin,1 oz,claret,1 oz,orange juice,1 oz,jamaica rum,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
lounge lizard,rum - daiquiris,1 oz,dark rum,1/2 oz,amaretto,,cola,,,,,,,pour rum and amaretto into ice-filled collins glass. fill with cola and stir. garnish with lime.,collins glass,14 to 16 ounces
jack-in-the-box cocktail,cocktail classics,1 oz,apple brandy,1 oz,pineapple juice,1 oz,bitters,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
irish whisky cocktail,cocktail classics,1/2 oz,old mr. boston triple sec,1/2 oz,absinthe substitute,1/4 oz,maraschino,1 oz,bitters,2 oz,irish whiskey,,,stir with ice and strain into cocktail glass. serve with an olive.,cocktail glass,6 or more ounces
look out below,rum - daiquiris,1 1/2 oz,151-proof rum,1/2 oz,fresh lime juice,1/4 oz,grenadine,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
little princess cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,sweet vermouth,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
little devil cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,gin,1/2 oz,fresh lemon juice,1/4 oz,triple sec,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
champs elysees cocktail,brandy,1 oz,brandy,1/2 oz,yellow chartreuse,1/2 oz,fresh lemon juice,1 oz,simple syrup,1 oz,angostura bitters,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
hop toad cocktail,cocktail classics,1/2 oz,juice of a lime,3/4 oz,old mr. boston apricot flavored brandy,3/4 oz,old mr. boston rum,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
level headed cocktail,rum - daiquiris,1 1/2 oz,aged rhum agricole,1 oz,cold brewed coffee,1/2 oz,allspice liqueur (pimento dram),1/4 oz,simple syrup,2 oz,angostura bitters,,,shake with ice and strain into snifter.,brandy snifter,8 to 12 ounces
la vita dulce,rum - daiquiris,1 1/2 oz,spiced rum,3/4 oz,mezcal,3/4 oz,fresh lime juice,3/4 oz,simple syrup,,ground cinnamon,,,shake with ice and strain into chilled cocktail glass. top with cinnamon.,cocktail glass,6 or more ounces
hole-in-one cocktail,cocktail classics,1 3/4 oz,desmond & duff scotch whisky,3/4 oz,dry vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
ko adang,rum - daiquiris,2 oz,dark rum,1 oz,coconut rum,1/2 oz,ginger liqueur,1/2 oz,mango nectar,1/2 oz,cream of coconut,1/2 oz,"fresh lime juice, lime wheel",shake with ice and strain into ice-filled collins glass. garnish with lime.,collins glass,14 to 16 ounces
knickerbocker special cocktail,rum - daiquiris,2 oz,light rum,1/2 oz,triple sec,1 oz,fresh lemon juice,1 oz,orange juice,1 oz,raspberry syrup,,small pineapple slice,shake with ice and strain into chilled cocktail glass. garnish with pineapple.,cocktail glass,6 or more ounces
hair raiser cocktail,cocktail classics,1 1/2 oz,old mr. boston 100 proof vodka,1/2 oz,old mr. boston rock and rye,1 oz,lemon juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
green opal cocktail,cocktail classics,1/2 oz,old mr. boston dry gin,1/2 oz,old mr. boston anisette,1 oz,absinthe substitute,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
jamaican ginger,rum - daiquiris,1 1/2 oz,light rum,1 oz,dark rum,1/2 oz,falernum,1/2 oz,fresh lime juice,4 oz,angostura bitters,,"ginger ale, lime wheel",stir first five ingredients in ice-filled collins glass. top with ginger ale. garnish with lime.,collins glass,14 to 16 ounces
green dragon cocktail,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,old mr. boston kummel,1/2 oz,old mr. boston green creme de menthe,1 1/2 oz,old mr. boston dry gin,4 oz,orange bitters,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,3/4 oz,light sweet cream,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
jamaican crawler,rum - daiquiris,1 oz,light rum,1 oz,melon liqueur,3 oz,pineapple juice,1 oz,grenadine,,,,,shake first three ingredients with ice and pour into collins glass. add grenadine and stir.,collins glass,14 to 16 ounces
golden slipper cocktail,cocktail classics,3/4 oz,yellow chartreuse,2 oz,old mr. boston apricot flavored brandy,,,,,,,,,stir with ice and strain into cocktail glass. float an unbroken egg yolk on top.,cocktail glass,6 or more ounces
jade,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/2 oz,green creme de menthe,1/2 oz,triple sec,1/2 oz,simple syrup scant,,lime wheel,shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
jacqueline,rum - daiquiris,2 oz,dark rum,1 oz,triple sec,1 oz,fresh lime juice,1 oz,simple syrup,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
jack sparrow flip,rum - daiquiris,2 oz,dark rum,3/4 oz,madeira,3/4 oz,simple syrup,1 oz,egg,2 oz,angostura bitters,,freshly grated nutmeg,shake without ice. then shake with ice and strain into highball glass. top with nutmeg.,highball glass,7 to 10 ounces
irresistible,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,benedictine,1/4 oz,fresh lemon juice,,lemon twist,,,shake and strain into cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
carroll cocktail,brandy,1 1/2 oz,brandy,3/4 oz,sweet vermouth,,maraschino cherry,,,,,,,stir with ice and strain into chilled cocktail glass. add cherry.,cocktail glass,6 or more ounces
hush and wonder,rum - daiquiris,1 oz,creme de violette,2 oz,light rum,3/4 oz,fresh lime juice,3/4 oz,simple syrup,3 oz,grapefruit bitters,,,pour creme de violette into chilled cocktail glass and swirl to coat; discard excess liqueur. shake remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
hurricane leah,rum - daiquiris,1/4 oz,"each light rum, gin, vodka, blanco tequila, blue curacao",1 oz,cherry-flavored brandy,1 1/2 oz,simple syrup,1 1/2 oz,fresh lemon juice,3 oz,fresh orange juice,,orange wheel,"pour ingredients, in order given, into ice-filled hurricane glass and stir. garnish with orange wheel.",hurricane glass,14 to 20 ounces
gimlet cocktail,cocktail classics,1 oz,rose's lime juice,1 oz,powdered sugar,1 1/2 oz,old mr. boston dry gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
hurricane,rum - daiquiris,1 1/2 oz,"each dark rum, light rum",1 oz,passion fruit syrup,1 oz,lime juice,3/4 oz,orange juice,1/2 oz,"each simple syrup, grenadine",,"orange half-wheel, maraschino cherry",shake with ice and strain into ice-filled hurricane glass. garnish with orange and cherry.,hurricane glass,14 to 20 ounces
hop toad,rum - daiquiris,3/4 oz,light rum,3/4 oz,apricot-flavored brandy,1/2 oz,fresh lime juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
the holy roller,rum - daiquiris,1 1/2 oz,cachaca,3/4 oz,fresh lime juice,1/2 oz,honey syrup,,,2 oz,angostura bitters,1/2 oz,"champagne or sparkling wine, mint sprig",shake first five ingredients with ice. strain into chilled cocktail glass. top with champagne or sparkling wine. garnish with mint.,cocktail glass,6 or more ounces
hemingway's nog,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,vanilla liqueur,1/4 oz,simple syrup,1 oz,creme fraiche,3 oz,"tiki bitters, such as bittermen's elemakule",,freshly grated nutmeg,shake with ice and strain into chilled cocktail glass. top with nutmeg.,cocktail glass,6 or more ounces
flying scotchman cocktail,cocktail classics,1 oz,sweet vermouth,1 oz,desmond & duff scotch whisky,1 oz,bitters,1/4 oz,sugar syrup,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
flying grasshopper cocktail,cocktail classics,3/4 oz,old mr. boston green creme de menthe,3/4 oz,old mr. boston white creme de cacao,3/4 oz,old mr. boston vodka,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
havana cocktail,rum - daiquiris,3/4 oz,light rum,1 1/2 oz,pineapple juice,1/4 oz,fresh lemon juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
harvest nectar,rum - daiquiris,1 1/2 oz,light rum,1 oz,pineapple juice,1 oz,cranberry juice,1 oz,orange juice,1 oz,lemon-lime soda,,,shake with ice and strain into ice-filled beer mug.,beer mug,10 to 12 ounces
fancy brandy cocktail,cocktail classics,2 oz,old mr. boston five star brandy,1 oz,bitters,1/4 oz,old mr. boston triple sec,1/4 oz,powdered sugar,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
fallen angel cocktail,cocktail classics,1 oz,juice of a lime,1 1/2 oz,old mr. boston dry gin,1 oz,bitters,1/2 oz,old mr. boston white creme de menthe,,,,,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
the poncho,tequila,2 oz,reposado tequila,1/2 oz,dry vermouth,1/2 oz,maraschino liqueur,2 oz,peychaud's bitters,,maraschino cherry,,,stir with ice and strain into chilled cocktail glass. add cherry.,cocktail glass,6 or more ounces
