name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
fox river cocktail,whiskies,2 oz,bourbon or rye whiskey,1/2 oz,dark creme de cacao,4 oz,angostura bitters,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
flying scotchman,whiskies,1 oz,blended scotch whiskey,1 oz,sweet vermouth,1 oz,angostura bitters,1/4 oz,simple syrup,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
the final ward,whiskies,3/4 oz,straight rye whiskey,3/4 oz,maraschino liqueur,3/4 oz,green chartreuse,3/4 oz,fresh lemon juice,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
martini,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,,,,,,,,,serve with an olive.,cocktail glass,6 or more ounces
fancy whiskey,whiskies,2 oz,bourbon or rye whiskey,1 oz,angostura bitters,1/4 oz,triple sec,1/4 oz,simple syrup,1 oz,lemon twist,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
mandarine sour,cocktail classics,2 oz,mandarine napoleon liqueur,1 oz,lemon juice,,,,,,,,,shake with ice and strain into a sour glass. decorate with a cherry and orange slice.,sour glass,5 to 6 ounces
mandarine mist,cocktail classics,1 1/2 oz,mandarine napoleon liqueur,,,,,,,,,,,pack an old-fashioned glass with finely crushed ice. add mandarine napoleon liqueur and a twist of tangerine peel. serve with short straws.,old-fashioned glass,6 to 8 ounces
underneath the mango tree,vodka,,"lime wedge, sweet chili powder",1 oz,mango-flavored vodka,1/2 oz,peach liqueur,3/4 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,ginger ale,rim collins glass with lime and sweet chili powder. fill glass with ice. shake next four ingredients with ice. strain into glass. top with ginger ale.,collins glass,14 to 16 ounces
fancy-free cocktail,whiskies,2 oz,bourbon whiskey,1/2 oz,maraschino liqueur,1 oz,angostura bitters,1 oz,orange bitters,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
honeymoon cocktail,brandy,3/4 oz,apple brandy,3/4 oz,benedictine,3/4 oz,fresh lemon juice,1/2 oz,triple sec,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
twister,vodka,2 oz,vodka,1/2 oz,fresh lime juice,,lime wedge,,lemon-lime soda,,,,,pour vodka and lime juice into collins glass. add several ice cubes. squeeze lime into glass and add. fill with lemon-lime soda and stir.,collins glass,14 to 16 ounces
everybody's irish cocktail,whiskies,2 oz,irish whiskey,1 oz,green creme de menthe,1 oz,green chartreuse,1 oz,green olive,,,,,stir with ice and strain into chilled cocktail glass. garnish with olive.,cocktail glass,6 or more ounces
trident,vodka,1 oz,aquavit or vodka,1/2 oz,cynar,1 oz,dry sherry,2 oz,peach bitters,,,,,stir and strain into cocktail glass. garnish with lemon twist.,cocktail glass,6 or more ounces
top banana,vodka,1 oz,vodka,1 oz,creme de banana,2 oz,orange juice,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
emperor norton's mistress,whiskies,3 oz,"fresh strawberries, cut in halves",1 1/2 oz,bourbon whiskey,1/2 oz,vanilla liqueur,1/4 oz,triple sec,,,,,muddle halved strawberries in mixing glass. add remaining ingredients. shake with ice and double-strain into ice-filled oldfashioned glass. garnish with strawberry slice.,old-fashioned glass,6 to 8 ounces
easterner,whiskies,2 oz,straight rye whiskey,1 oz,fresh grapefruit juice,1/2 oz,maple syrup,,grapefruit twist,,,,,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,cocktail glass,6 or more ounces
toasted drop,vodka,,"lemon wedge, cinnamon sugar",1 1/2 oz,citrus-flavored vodka,3/4 oz,limoncello,1/4 oz,amaretto,3/4 oz,fresh lemon juice,1 oz,egg white,rim chilled cocktail glass with lemon and cinnamon sugar. shake ingredients without ice. add ice and shake again. strain into glass. add lemon twist.,cocktail glass,6 or more ounces
eastern sour,whiskies,2 oz,bourbon whiskey,1 1/2 oz,orange juice,1 oz,fresh lime juice,1/4 oz,orgeat or almond syrup,1/4 oz,simple syrup,,orange and lime wheels,shake with ice and strain into ice-filled highball glass. garnish with orange and lime.,highball glass,7 to 10 ounces
